total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1,1.000000000000000,1,1,1,1,-2.658108162368162,1,2,.4121563914039236E-14,1,4,1.000000,0.9436896E-15
2,1.000000000000000,1,1,1,2,.4016109197550320E-15,1,2,.7627842155974159E-14,1,1,0.9436896E-15,0.5614569E-15
3,1.000000000000000,1,1,2,1,-1.005115244769855,1,2,.6542185412942497E-14,1,1,1.000000,0.3608225E-15
4,1.000000000000000,1,1,2,2,-.4386749271405152E-15,1,2,.1093755425270514E-14,1,1,0.3608225E-15,0.1314685E-16
5,1.000000000000000,1,1,3,1,-.1189339755395189,1,2,.3745159236734152E-13,1,1,1.000000,0.4637595E-13
6,1.000000000000000,1,1,3,2,-.5521419402538064E-14,1,2,.2794715365528938E-15,1,1,0.4637595E-13,0.6874340E-18
7,1.000000000000000,1,1,4,1,-.1478060110497348E-02,1,2,.1364246511848274E-11,1,1,1.000000,0.2885801E-09
8,1.000000000000000,1,1,4,2,-.4265388555672158E-12,1,2,.2649339086836765E-17,1,1,0.2885801E-09,0.5201019E-22
9,1.000000000000000,1,1,5,1,-.2191570098092654E-06,1,2,.4795024852220479E-08,1,1,0.9878589,0.1185157E-01
10,2.000000000000000,2,1,1,1,-.1268419074661128,1,2,.3434567191916995E-13,1,1,1.000000,0.1065275E-13
11,2.000000000000000,2,1,1,2,-.1357510722716710E-14,1,2,.5440871097322676E-15,1,4,0.1065275E-13,0.2126236E-17
12,2.000000000000000,2,1,2,1,-.1154722270017950E-02,1,2,.5145202708042057E-11,1,1,1.000000,0.1932368E-09
13,2.000000000000000,2,1,2,2,-.2231347870550454E-12,1,2,-.5915435498451732E-17,1,4,0.1932368E-09,0.3844220E-21
14,2.000000000000000,2,1,3,1,-.1247631727862850E-04,1,2,.5610659683999529E-09,1,1,0.9999964,0.3624702E-05
15,2.000000000000000,2,1,3,2,-.4522309893271788E-10,1,2,.2033691440413792E-14,1,1,0.3624702E-05,0.4762355E-16
16,2.000000000000000,2,1,4,1,-.1132797228040595E-06,1,2,.4709477531405054E-07,1,1,0.9551243,0.4110021E-01
