total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1,1.000000000000000,1,1,1,1,-.2168923100633648,1,325,.2549763197539433E-01,1,105,1.000050,0.9999661
2,1.000000000000000,1,1,1,2,-.1131286501012110E-06,1,245,-.3588661730195300E-04,1,105,1.001408,0.4981567E-02
3,1.000000000000000,1,1,2,1,-.2177590425482808,1,378,.2590966512571525E-01,1,105,1.000053,0.9999662
4,1.000000000000000,1,1,2,2,-.1166273727355769E-06,1,245,.2741159620599511E-04,1,105,0.9989289,0.3512190E-02
5,1.000000000000000,1,1,3,1,-.2188029706212043,1,378,.2632742865384397E-01,1,105,1.000057,0.9999662
6,1.000000000000000,1,1,3,2,-.1206395399682463E-06,1,245,.2685105919564572E-04,1,1718,0.9996237,0.1974431E-02
7,1.000000000000000,1,1,4,1,-.2198370153755574,1,378,.2674481992193663E-01,1,105,1.000060,0.9999661
8,1.000000000000000,1,1,4,2,-.1247490289817718E-06,1,245,.2787713779309305E-04,1,1718,0.9997745,0.2025602E-02
9,1.000000000000000,1,1,5,1,-.2208651259773844,1,378,.2717168589864831E-01,1,105,1.000064,0.9999659
10,1.000000000000000,1,1,5,2,-.1290241880576536E-06,1,245,.2893272685512338E-04,1,1718,0.9998403,0.2211037E-02
11,1.000000000000000,1,1,6,1,-.2218860819648201,1,378,.2759276476270571E-01,1,105,1.000069,0.9999656
12,1.000000000000000,1,1,6,2,-.1334813019278169E-06,1,245,.3002774210529454E-04,1,1718,0.9998767,0.2449412E-02
13,1.000000000000000,1,1,7,1,-.2228967046415437,1,378,.2801210571767744E-01,1,105,1.000073,0.9999653
14,1.000000000000000,1,1,7,2,-.1381249200699956E-06,1,245,.3116434289883955E-04,1,1718,0.9998993,0.2727817E-02
15,1.000000000000000,1,1,8,1,-.2238957589097821,1,378,.2842907601328528E-01,1,105,1.000078,0.9999648
16,1.000000000000000,1,1,8,2,-.1429634803527158E-06,1,245,.3234461242171871E-04,1,1718,0.9999144,0.3046007E-02
17,1.000000000000000,1,1,9,1,-.2248819854012618,1,378,.2883972478192444E-01,1,105,1.000137,0.9999079
18,1.000000000000000,1,1,9,2,-.1469618666729027E-06,1,245,.1711174103267527E-03,1,105,0.9931737,0.1265903
19,1.000000000000000,1,1,10,1,-.2258540960071422,1,378,.2924722098197233E-01,1,105,1.000143,0.9999075
20,1.000000000000000,1,1,10,2,-.1529998141000828E-06,1,245,.3485648938149698E-04,1,1718,0.9993193,0.5272756E-02
21,1.000000000000000,1,1,11,1,-.2268107808787823,1,378,.2965638944863973E-01,1,105,1.000149,0.9999059
22,1.000000000000000,1,1,11,2,-.1585039532101195E-06,1,245,.3609997678135972E-04,1,1718,0.9995754,0.4860035E-02
23,1.000000000000000,1,1,12,1,-.2277507062373505,1,378,.3005606153928627E-01,1,105,1.000155,0.9999051
24,1.000000000000000,1,1,12,2,-.1642252417799775E-06,1,245,.3750341499679585E-04,1,1718,0.9996806,0.5152874E-02
25,1.000000000000000,1,1,13,1,-.2286725167630934,1,378,.3045145569619923E-01,1,105,1.000162,0.9999039
26,1.000000000000000,1,1,13,2,-.1701802397275822E-06,1,245,.3894293451557129E-04,1,1718,0.9997348,0.5656261E-02
27,1.000000000000000,1,1,14,1,-.2295748238612723,1,378,.3083854010542126E-01,1,105,1.000169,0.9999026
28,1.000000000000000,1,1,14,2,-.1763859053995670E-06,1,245,.4042809126159075E-04,1,1718,0.9997679,0.6283827E-02
29,1.000000000000000,1,1,15,1,-.2304562743228653,1,378,.3121873303397322E-01,1,105,1.000177,0.9999013
30,1.000000000000000,1,1,15,2,-.1828560354138213E-06,1,245,.4196187495245380E-04,1,1718,0.9997905,0.7019636E-02
31,1.000000000000000,1,1,16,1,-.2313154279614215,1,378,.3159150333761909E-01,1,105,1.000185,0.9998997
32,1.000000000000000,1,1,16,2,-.1896018301621628E-06,1,245,.4354861762939444E-04,1,1718,0.9998072,0.7866849E-02
33,1.000000000000000,1,1,17,1,-.2321501646666954,1,378,.3195540356226403E-01,1,105,1.000194,0.9998976
34,1.000000000000000,1,1,17,2,-.1966348465147542E-06,1,245,.4518843614450417E-04,1,1718,0.9998191,0.8838410E-02
35,1.000000000000000,1,1,18,1,-.2329597673141782,1,378,.3230941400774918E-01,1,105,1.000203,0.9998957
36,1.000000000000000,1,1,18,2,-.2039718636532108E-06,1,245,.4688268062914695E-04,1,1718,0.9998306,0.9940665E-02
37,1.000000000000000,1,1,19,1,-.2337431922322450,1,378,.3265303310725107E-01,1,105,1.000212,0.9998936
38,1.000000000000000,1,1,19,2,-.2116247596576072E-06,1,245,.4863152909329445E-04,1,1718,0.9998414,0.1119339E-01
39,1.000000000000000,1,1,20,1,-.2344984265968706,1,378,.3298532150184007E-01,1,105,1.000222,0.9998913
40,1.000000000000000,1,1,20,2,-.2196094936621227E-06,1,245,.5043506871308136E-04,1,1718,0.9998522,0.1261489E-01
41,1.000000000000000,1,1,21,1,-.2352240561435379,1,378,.3331292528516133E-01,1,105,1.000233,0.9998888
42,1.000000000000000,1,1,21,2,-.2279396644106788E-06,1,245,.5229193572894412E-04,1,1718,0.9998641,0.1424166E-01
43,1.000000000000000,1,1,22,1,-.2359186261774190,1,378,.3359073837138766E-01,1,105,1.000245,0.9998890
44,1.000000000000000,1,1,22,2,-.2366350226656352E-06,1,245,.5475924154370950E-04,1,1718,0.9998834,0.1625956E-01
45,1.000000000000000,1,1,23,1,-.2365806106970887,1,378,.3388271896854689E-01,1,105,1.000257,0.9998863
46,1.000000000000000,1,1,23,2,-.2457073053295233E-06,1,245,.5686827152594383E-04,1,1718,0.9999010,0.1840005E-01
47,1.000000000000000,1,1,24,1,-.2372085116829488,1,378,.3416043147792958E-01,1,105,1.000269,0.9998834
48,1.000000000000000,1,1,24,2,-.2551774022850499E-06,1,245,.5904127748123122E-04,1,1718,0.9999223,0.2082633E-01
49,1.000000000000000,1,1,25,1,-.2378008396284572,1,378,.3442284410105693E-01,1,105,1.000282,0.9998803
