total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
2,1.000000000000000,1,1,1,2,-.2585923630752802,1,,160
4,1.000000000000000,1,1,2,2,-.2571746908085970,1,,160
6,1.000000000000000,1,1,3,2,-.2557398241062288,1,,160
8,1.000000000000000,1,1,4,2,-.2542396673303102,1,,160
10,1.000000000000000,1,1,5,2,-.2526831523225326,1,,160
12,1.000000000000000,1,1,6,2,-.2510841624668245,1,,160
14,1.000000000000000,1,1,7,2,-.2494429507977571,1,,160
16,1.000000000000000,1,1,8,2,-.2477593759880676,1,,160
18,1.000000000000000,1,1,9,2,-.2460333911718635,1,,160
20,1.000000000000000,1,1,10,2,-.2442650462131724,1,,160
22,1.000000000000000,1,1,11,2,-.2436408505803058,1,,1
24,1.000000000000000,1,1,12,2,-.2437300145779062,1,,1
26,1.000000000000000,1,1,13,2,-.2437911003787150,1,,1
28,1.000000000000000,1,1,14,2,-.2438229715160531,1,,1
30,1.000000000000000,1,1,15,2,-.2438245235118472,1,,1
32,1.000000000000000,1,1,16,2,-.2445495309039529,1,,2
34,1.000000000000000,1,1,17,2,-.2462254277956646,1,,2
36,1.000000000000000,1,1,18,2,-.2478723655923574,1,,2
38,1.000000000000000,1,1,19,2,-.2494886816532329,1,,2
40,1.000000000000000,1,1,20,2,-.2510722854481457,1,,2
42,1.000000000000000,1,1,21,2,-.2526205841985529,1,,2
44,1.000000000000000,1,1,22,2,-.2541310264614509,1,,2
46,1.000000000000000,1,1,23,2,-.2556009556096797,1,,2
48,1.000000000000000,1,1,24,2,-.2570277115864030,1,,2
50,1.000000000000000,1,1,25,2,-.2584086162706427,1,,2
52,1.000000000000000,1,1,26,2,-.2597409645979383,1,,2
54,1.000000000000000,1,1,27,2,-.2610220838319179,1,,2
56,1.000000000000000,1,1,28,2,-.2622491266393610,1,,2
58,1.000000000000000,1,1,29,2,-.2634194273928046,1,,2
60,1.000000000000000,1,1,30,2,-.2645300668570911,1,,2
62,1.000000000000000,1,1,31,2,-.2655781754562128,1,,2
64,1.000000000000000,1,1,32,2,-.2665608561990354,1,,2
66,1.000000000000000,1,1,33,2,-.2674753790889781,1,,2
68,1.000000000000000,1,1,34,2,-.2683187491169576,1,,2
70,1.000000000000000,1,1,35,2,-.2690879705200757,1,,2
72,1.000000000000000,1,1,36,2,-.2697800565418333,1,,2
74,1.000000000000000,1,1,37,2,-.2703919998253212,1,,2
76,1.000000000000000,1,1,38,2,-.2709207791087209,1,,2
78,1.000000000000000,1,1,39,2,-.2713633746759854,1,,2
80,1.000000000000000,1,1,40,2,-.2717167370834659,1,,2
82,1.000000000000000,1,1,41,2,-.2719777103245775,1,,2
84,1.000000000000000,1,1,42,2,-.2721431452467016,1,,2
86,1.000000000000000,1,1,43,2,-.2722098811080258,1,,2
88,1.000000000000000,1,1,44,2,-.2721748049468573,1,,2
90,1.000000000000000,1,1,45,2,-.2720347397123533,1,,2
92,1.000000000000000,1,1,46,2,-.2717864165049235,1,,2
94,1.000000000000000,1,1,47,2,-.2714265876100512,1,,2
96,1.000000000000000,1,1,48,2,-.2709519807990546,1,,2
98,1.000000000000000,1,1,49,2,-.2703593352587745,1,,2
100,1.000000000000000,1,1,50,2,-.2696453611071945,1,,2
102,1.000000000000000,1,1,51,2,-.2688068174216909,1,,2
104,1.000000000000000,1,1,52,2,-.2678405770791130,1,,2
106,1.000000000000000,1,1,53,2,-.2667432211616045,1,,2
109,1.000000000000000,1,1,54,3,-.2655115018947640,1,,2
112,1.000000000000000,1,1,55,3,-.2641422056496623,1,,2
115,1.000000000000000,1,1,56,3,-.2626322019615799,1,,2
118,1.000000000000000,1,1,57,3,-.2609783984460705,1,,2
121,1.000000000000000,1,1,58,3,-.2591777262400399,1,,2
124,1.000000000000000,1,1,59,3,-.2572272579865427,1,,2
127,1.000000000000000,1,1,60,3,-.2551241649979659,1,,2
130,1.000000000000000,1,1,61,3,-.2528657542437287,1,,2
133,1.000000000000000,1,1,62,3,-.2504495190448637,1,,2
136,1.000000000000000,1,1,63,3,-.2478731371368781,1,,2
139,1.000000000000000,1,1,64,3,-.2451345066575215,1,,2
142,1.000000000000000,1,1,65,3,-.2422318045427971,1,,2
145,1.000000000000000,1,1,66,3,-.2391635624321964,1,,2
148,1.000000000000000,1,1,67,3,-.2359286378014360,1,,2
151,1.000000000000000,1,1,68,3,-.2325262359593410,1,,2
154,1.000000000000000,1,1,69,3,-.2289561075399149,1,,2
157,1.000000000000000,1,1,70,3,-.2252183737559363,1,,2
160,1.000000000000000,1,1,71,3,-.2213137936102072,1,,2
163,1.000000000000000,1,1,72,3,-.2172437787748294,1,,2
166,1.000000000000000,1,1,73,3,-.2130103464285753,1,,2
169,1.000000000000000,1,1,74,3,-.2086163637626299,1,,2
172,1.000000000000000,1,1,75,3,-.2040653850960155,1,,2
175,1.000000000000000,1,1,76,3,-.1993617636520071,1,,2
178,1.000000000000000,1,1,77,3,-.1945108159922881,1,,2
181,1.000000000000000,1,1,78,3,-.1895188090666835,1,,2
184,1.000000000000000,1,1,79,3,-.1869625094599883,1,,1555
187,1.000000000000000,1,1,80,3,-.1863859656775162,1,,1555
190,1.000000000000000,1,1,81,3,-.1856763025438966,1,,1555
193,1.000000000000000,1,1,82,3,-.1848328136517097,1,,1555
196,1.000000000000000,1,1,83,3,-.1838552766716930,1,,1555
199,1.000000000000000,1,1,84,3,-.1827439798083361,1,,1555
202,1.000000000000000,1,1,85,3,-.1814996183261997,1,,1555
205,1.000000000000000,1,1,86,3,-.1801234841118173,1,,1555
208,1.000000000000000,1,1,87,3,-.1786174517233121,1,,1555
211,1.000000000000000,1,1,88,3,-.1769840435550947,1,,1555
214,1.000000000000000,1,1,89,3,-.1752262679882506,1,,1555
217,1.000000000000000,1,1,90,3,-.1733477985211351,1,,1555
220,1.000000000000000,1,1,91,3,-.1713529042197166,1,,1555
223,1.000000000000000,1,1,92,3,-.1692463998889195,1,,1555
226,1.000000000000000,1,1,93,3,-.1670335552336866,1,,1555
229,1.000000000000000,1,1,94,3,-.1647202824981235,1,,1555
232,1.000000000000000,1,1,95,3,-.1623128699723395,1,,1555
235,1.000000000000000,1,1,96,3,-.1598179165023339,1,,1555
238,1.000000000000000,1,1,97,3,-.1572424095567442,1,,1555
241,1.000000000000000,1,1,98,3,-.1545935864287742,1,,1555
244,1.000000000000000,1,1,99,3,-.1518788807629079,1,,1555
247,1.000000000000000,1,1,100,3,-.1491058741603979,1,,1555
250,1.000000000000000,1,1,101,3,-.1474391022807708,1,,1373
253,1.000000000000000,1,1,102,3,-.1461334886352006,1,,1373
256,1.000000000000000,1,1,103,3,-.1447291644608839,1,,1373
259,1.000000000000000,1,1,104,3,-.1432309654873620,1,,1373
262,1.000000000000000,1,1,105,3,-.1416438874406651,1,,1373
265,1.000000000000000,1,1,106,3,-.1399730155717549,1,,1373
268,1.000000000000000,1,1,107,3,-.1382235505635521,1,,1373
271,1.000000000000000,1,1,108,3,-.1364007594352614,1,,1373
274,1.000000000000000,1,1,109,3,-.1345099706966977,1,,1373
277,1.000000000000000,1,1,110,3,-.1325565416362764,1,,1373
280,1.000000000000000,1,1,111,3,-.1305458309563505,1,,1373
284,1.000000000000000,1,1,112,4,-.1284832238332854,1,,1373
288,1.000000000000000,1,1,113,4,-.1263740543855505,1,,1373
291,1.000000000000000,1,1,114,3,-.1242236159195187,1,,1373
295,1.000000000000000,1,1,115,4,-.1220371850245954,1,,1373
298,1.000000000000000,1,1,116,3,-.1198199779950357,1,,1373
301,1.000000000000000,1,1,117,3,-.1181552352962143,1,,992
304,1.000000000000000,1,1,118,3,-.1168943926154498,1,,992
307,1.000000000000000,1,1,119,3,-.1157890122024980,1,,936
310,1.000000000000000,1,1,120,3,-.1149605973265864,1,,936
314,1.000000000000000,1,1,121,4,-.1140901507574341,1,,936
318,1.000000000000000,1,1,122,4,-.1131805522869058,1,,936
322,1.000000000000000,1,1,123,4,-.1122345894048635,1,,936
325,1.000000000000000,1,1,124,3,-.1112550359126487,1,,936
328,1.000000000000000,1,1,125,3,-.1102446122194465,1,,936
331,1.000000000000000,1,1,126,3,-.1092059517638546,1,,936
334,1.000000000000000,1,1,127,3,-.1081416551462411,1,,936
337,1.000000000000000,1,1,128,3,-.1070542883707191,1,,936
340,1.000000000000000,1,1,129,3,-.1060262301331107,1,,952
343,1.000000000000000,1,1,130,3,-.1051947279009084,1,,952
346,1.000000000000000,1,1,131,3,-.1043361466912103,1,,952
349,1.000000000000000,1,1,132,3,-.1034528404262574,1,,952
352,1.000000000000000,1,1,133,3,-.1025471253789050,1,,952
355,1.000000000000000,1,1,134,3,-.1016212559413674,1,,952
358,1.000000000000000,1,1,135,3,-.1006774621229880,1,,952
361,1.000000000000000,1,1,136,3,-.9971792611689523E-01,1,,952
364,1.000000000000000,1,1,137,3,-.9874475494575563E-01,1,,952
367,1.000000000000000,1,1,138,3,-.9789369525523739E-01,1,,868
370,1.000000000000000,1,1,139,3,-.9709310131114535E-01,1,,868
373,1.000000000000000,1,1,140,3,-.9626977469301323E-01,1,,868
376,1.000000000000000,1,1,141,3,-.9553157315772864E-01,1,,880
379,1.000000000000000,1,1,142,3,-.9491153533841157E-01,1,,880
382,1.000000000000000,1,1,143,3,-.9426495399597457E-01,1,,880
385,1.000000000000000,1,1,144,3,-.9365929102106918E-01,1,,759
388,1.000000000000000,1,1,145,3,-.9303197615599856E-01,1,,759
391,1.000000000000000,1,1,146,3,-.9238468890951879E-01,1,,759
394,1.000000000000000,1,1,147,3,-.9171979683529230E-01,1,,759
397,1.000000000000000,1,1,148,3,-.9103957042493960E-01,1,,759
400,1.000000000000000,1,1,149,3,-.9043291899779149E-01,1,,809
403,1.000000000000000,1,1,150,3,-.8988798345885129E-01,1,,809
406,1.000000000000000,1,1,151,3,-.8932500200586446E-01,1,,809
410,1.000000000000000,1,1,152,4,-.8874635953392840E-01,1,,809
414,1.000000000000000,1,1,153,4,-.8815434226667662E-01,1,,809
418,1.000000000000000,1,1,154,4,-.8755109710797626E-01,1,,809
422,1.000000000000000,1,1,155,4,-.8693863276556613E-01,1,,809
426,1.000000000000000,1,1,156,4,-.8631883145187658E-01,1,,809
430,1.000000000000000,1,1,157,4,-.8569345328881184E-01,1,,809
434,1.000000000000000,1,1,158,4,-.8506412590037371E-01,1,,809
438,1.000000000000000,1,1,159,4,-.8443235477207622E-01,1,,809
442,1.000000000000000,1,1,160,4,-.8379952149320502E-01,1,,809
446,1.000000000000000,1,1,161,4,-.8322671362587641E-01,1,,119
450,1.000000000000000,1,1,162,4,-.8277654162678516E-01,1,,119
