total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1,1.000000000000000,1,1,1,1,-4.576199366717217,1,1283,2822.568581787655,1,337,1.065491,1.177766
2,1.000000000000000,1,1,1,2,-1.683119531739794,1,120,541.2399227358102,1,357,1.801267,1.022405
3,1.000000000000000,1,1,1,3,-1.234724514479491,1,1194,163.4864995667520,1,337,1.743053,3.060883
4,1.000000000000000,1,1,1,4,-.4439795118485018,1,136,89.28492293162346,1,484,2.394352,1.043236
5,1.000000000000000,1,1,1,5,-.4216644492997587,1,1330,64.59998739041465,1,484,2.614812,1.847735
6,1.000000000000000,1,1,1,6,-.2399918490802148,1,1330,52.95556445254694,1,484,2.452547,1.027287
7,1.000000000000000,1,1,1,7,-.1913526126832229,1,1330,33.37015011518304,1,484,2.244020,4.512486
8,1.000000000000000,1,1,1,8,-.4099001194004235E-01,1,1330,25.63698655651155,1,484,1.811437,1.273711
9,1.000000000000000,1,1,1,9,-.2521926996770596E-01,1,1328,18.61988263207193,1,484,2.598792,1.408971
10,1.000000000000000,1,1,1,10,.1810671412401175E-02,1,1392,18.70261943158554,1,484,-1.183499,1.125574
11,1.000000000000000,1,1,1,11,-.6247924266216295E-01,1,1401,-4.473992852409642,1,357,-3.196701,16.02710
12,1.000000000000000,1,1,1,12,-.5807998656779914E-02,1,1501,1.149938070850149,1,484,3.693480,0.8061900
13,1.000000000000000,1,1,1,13,-.3069321983174236E-02,1,1501,.5777259055574697,1,484,3.482725,0.8531934
14,1.000000000000000,1,1,1,14,.1171406753130194E-02,1,1496,.7507622369028193,1,484,-4.202902,1.249949
15,1.000000000000000,1,1,1,15,-.3994712457378913E-02,1,1207,-.1101988574120747,1,357,-0.7199066,11.54275
16,1.000000000000000,1,1,1,16,.1466428281535216E-03,1,1502,.1406816631185735,1,484,-2.578384,0.8598208
17,1.000000000000000,1,1,1,17,-.6255569329612345E-03,1,1502,.7460355274430476E-01,1,484,-1.807060,1.714859
18,1.000000000000000,1,1,1,18,-.1622575594855186E-03,1,1502,.4778431414221430E-01,1,484,1.045613,2.730902
19,1.000000000000000,1,1,1,19,-.1431062244909630E-03,1,1502,.1869365107309391E-01,1,484,3.309595,3.881292
20,1.000000000000000,1,1,1,20,-.5705935933156024E-04,1,1502,.6820095492855380E-02,1,484,3.216031,0.8319577
21,1.000000000000000,1,1,1,21,-.7659975407523454E-04,1,145,-.6109841254341342E-02,1,484,11.26802,0.8802257
22,1.000000000000000,1,1,1,22,.3999414227800504E-04,1,1157,.7199531811759584E-03,1,484,0.2400349,15.44486
23,1.000000000000000,1,1,1,23,-.2999088802385766E-05,1,1329,.4332060501386126E-03,1,484,2.825894,0.8370666
24,1.000000000000000,1,1,1,24,-.1814372933390972E-05,1,1376,.1192973062886425E-03,1,484,1.487968,4.971748
25,1.000000000000000,1,1,1,25,-.5864618681743253E-06,1,1376,.5156040021204624E-04,1,484,2.382390,0.8537079
26,1.000000000000000,1,1,2,1,-1.391543158297484,1,1283,1080.009657853037,1,337,1.098092,1.216884
27,1.000000000000000,1,1,2,2,-.7532160995253117,1,1212,221.2300540688970,1,357,2.360073,0.9933906
28,1.000000000000000,1,1,2,3,-.7280507909440734,1,1194,153.4520235348683,1,484,2.369297,2.464490
29,1.000000000000000,1,1,2,4,-.7239557710123516,1,1330,133.8400734215191,1,484,3.086486,1.236291
30,1.000000000000000,1,1,2,5,-.7417534816979594,1,1330,122.4467786152173,1,484,3.155605,1.461323
31,1.000000000000000,1,1,2,6,-.5144166523935574,1,1330,112.4408665998122,1,484,2.752509,1.275150
32,1.000000000000000,1,1,2,7,-.3055203485410783,1,1330,94.59428925235896,1,484,2.290670,5.123089
33,1.000000000000000,1,1,2,8,-.1247213689871520,1,1328,82.35206860806544,1,484,2.417804,1.000077
34,1.000000000000000,1,1,2,9,-.2213107425835391,1,1401,62.77797932886776,1,484,4.357206,1.644535
35,1.000000000000000,1,1,2,10,-3.968685706715003,1,1401,-283.0006038159663,1,484,61.26752,0.8722658
36,1.000000000000000,1,1,2,11,3.372649938709401,1,1401,21.48043152905829,1,484,0.7535184E-01,25.32221
