total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1,1.000000000000000,1,1,1,1,-4.246779655429169,1,1283,2597.318800573274,1,337,1.067036,1.175392
2,1.000000000000000,1,1,1,2,-1.535310733576921,1,120,495.1012058939999,1,357,1.810891,1.022162
3,1.000000000000000,1,1,1,3,-1.149569163018056,1,1194,156.8288039506261,1,337,1.754362,3.069553
4,1.000000000000000,1,1,1,4,-.4364660299327688,1,136,93.86894391144428,1,484,2.431047,1.043688
5,1.000000000000000,1,1,1,5,-.4339126027739615,1,1330,69.13318462296871,1,484,2.673304,1.820622
6,1.000000000000000,1,1,1,6,-.2596063402348634,1,1330,57.51054069269927,1,484,2.490407,1.035096
7,1.000000000000000,1,1,1,7,-.2125250261259149,1,1330,37.82821489399875,1,484,2.297748,4.402249
8,1.000000000000000,1,1,1,8,-.4898168069636613E-01,1,1330,29.63463109607771,1,484,1.839590,1.292359
9,1.000000000000000,1,1,1,9,-.3032063116326633E-01,1,1328,22.07016219080363,1,484,2.600449,1.426836
10,1.000000000000000,1,1,1,10,.5196963158179618E-02,1,1401,22.94621749984994,1,484,-1.612602,1.046377
11,1.000000000000000,1,1,1,11,-.8870990407248927E-01,1,1401,-4.530449102220355,1,357,-2.459986,19.52877
12,1.000000000000000,1,1,1,12,-.8216346604822823E-02,1,1330,1.223799328132392,1,484,3.859632,0.8049038
13,1.000000000000000,1,1,1,13,-.4196351380038185E-02,1,1330,.8226499614942536,1,484,3.649306,0.8544579
14,1.000000000000000,1,1,1,14,.3609567337593265E-03,1,1392,.7915094004246592,1,484,-1.702276,1.922017
15,1.000000000000000,1,1,1,15,-.3892476850795371E-02,1,1207,.2801376360766621,1,484,-2.005563,5.963748
16,1.000000000000000,1,1,1,16,.6431819056421204E-04,1,1184,.3249376456360723,1,484,-0.2933617,0.9052226
17,1.000000000000000,1,1,1,17,-.8762265679283065E-03,1,1207,.1953364146402863,1,484,-13.18327,1.393636
18,1.000000000000000,1,1,1,18,-.4214747769974003E-03,1,1207,.1170572637388235,1,484,1.281485,4.077839
19,1.000000000000000,1,1,1,19,-.2556051782314084E-03,1,1401,.5681708511623215E-01,1,484,3.219514,2.597122
20,1.000000000000000,1,1,1,20,-.1287204974596602E-03,1,1401,.2641170605510293E-01,1,484,3.214886,0.8471549
21,1.000000000000000,1,1,1,21,-.1237741039167551E-02,1,1401,-.2561932050327875,1,484,77.59813,0.9029936
22,1.000000000000000,1,1,1,22,.1137341242361495E-02,1,1401,.2797654333898994E-02,1,484,0.3599706E-01,13.64008
23,1.000000000000000,1,1,1,23,-.7614902083743218E-05,1,1207,.1351931839817917E-02,1,484,2.685360,0.8204680
24,1.000000000000000,1,1,1,24,-.5130917425109010E-05,1,1207,.4868307639439479E-03,1,484,1.518330,6.954261
25,1.000000000000000,1,1,1,25,-.1494239144518467E-05,1,25,.1899852033552673E-03,1,484,2.420980,0.8736802
26,1.000000000000000,1,1,1,26,-.5286683937279700E-06,1,1207,.8411048804024741E-04,1,484,1.829263,0.7449976
27,1.000000000000000,1,1,2,1,-1.197365287309966,1,1283,892.8382145293799,1,337,1.100344,1.210331
28,1.000000000000000,1,1,2,2,-.6428341335278444,1,1212,183.4781687422328,1,357,2.400197,0.9961065
29,1.000000000000000,1,1,2,3,-.6299406274497885,1,1243,146.7094242647476,1,484,2.436830,2.410994
30,1.000000000000000,1,1,2,4,-.6818544328047650,1,1330,127.7898565942995,1,484,3.179900,1.248113
31,1.000000000000000,1,1,2,5,-.7053315615956062,1,1330,117.1836151809777,1,484,3.211350,1.439046
32,1.000000000000000,1,1,2,6,-.4897086373471191,1,1330,108.1171756153243,1,484,2.738245,1.342559
33,1.000000000000000,1,1,2,7,-.2934202040008723,1,1330,92.14644673449298,1,484,2.353351,4.633227
34,1.000000000000000,1,1,2,8,-.1373559696148771,1,1401,80.21570846493552,1,484,2.575311,0.9865433
35,1.000000000000000,1,1,2,9,-.2511530055843543,1,1401,60.16133664941492,1,484,4.505222,1.647896
36,1.000000000000000,1,1,2,10,-1.590922652276925,1,1401,-65.77679673773076,1,484,20.30258,0.8708889
37,1.000000000000000,1,1,2,11,.9451862712682446,1,1401,19.74426798191741,1,484,0.2154364,23.13656
38,1.000000000000000,1,1,2,12,-.2330915457879650,1,1493,8.693290718614421,1,484,4.652833,0.9687144
39,1.000000000000000,1,1,2,13,-.2003278554897956,1,1501,2.259010521593711,1,1545,5.631459,0.8755474
