total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1,1.000000000000000,1,1,1,1,2.245086114796996,1,3031,702.0514618801948,1,4688,1.040827,1.216180
2,1.000000000000000,1,1,1,2,1.415042520542043,1,3031,-476.5653248607912,1,4749,2.383989,0.9357236
3,1.000000000000000,1,1,1,3,1.619830420449553,1,3031,-327.6624633879364,1,4749,2.478560,2.627945
4,1.000000000000000,1,1,1,4,1.288688086542986,1,3031,-233.8957578465948,1,4749,2.732077,0.9447466
5,1.000000000000000,1,1,1,5,1.383999868761512,1,3031,-149.4600297350941,1,4749,3.585518,1.425475
6,1.000000000000000,1,1,1,6,1.563038332535133,1,3031,-114.4200810946569,1,4833,4.816890,0.8483486
7,1.000000000000000,1,1,1,7,.6498441224142958,1,3054,-181.1183904801512,1,4728,0.3460100,11.44428
8,1.000000000000000,1,1,1,8,.9852967759321667,1,2851,-53.81185341503214,1,4833,9.741230,3.216217
9,1.000000000000000,1,1,1,9,.6940242093016658,1,2851,-48.83685180161495,1,4942,3.639710,0.8096756
10,1.000000000000000,1,1,1,10,.4768890313149291,1,4853,-42.67440383824736,1,4964,2.601740,3.635550
11,1.000000000000000,1,1,1,11,.4286806584612705,1,4853,-37.28510078115949,1,4964,2.233591,1.713712
12,1.000000000000000,1,1,1,12,.3999230088123694,1,4853,-31.77051739727003,1,4964,2.663655,1.043514
13,1.000000000000000,1,1,1,13,-1.769821063760281,1,4853,-62.56420307529454,1,4882,-20.89714,0.9085869
14,1.000000000000000,1,1,1,14,2.844029994956917,1,4853,-30.72093862936729,1,4740,-0.1883139,50.34252
15,1.000000000000000,1,1,1,15,.1696347011031974,1,2851,-15.41612005699382,1,4931,4.251723,0.9436395
16,1.000000000000000,1,1,1,16,.1252302389999611,1,3202,-15.24795073849480,1,4931,2.628485,2.631182
17,1.000000000000000,1,1,1,17,.1144092557112158,1,3202,-14.41708399700788,1,4931,2.540087,1.621388
18,1.000000000000000,1,1,1,18,.1712691915936754,1,3394,-12.70211150652402,1,4931,4.742642,0.9086902
19,1.000000000000000,1,1,1,19,.2296146550440235E-01,1,4822,-11.92950322921133,1,4931,0.5962589E-02,4.166524
20,1.000000000000000,1,1,1,20,.1541154614147635,1,3394,-9.226142102584284,1,4931,614.5539,1.450114
21,1.000000000000000,1,1,1,21,.1034015168078256,1,4822,-7.164101174868073,1,4931,4.616931,0.9609028
22,1.000000000000000,1,1,1,22,.2199357544649262,1,4822,-3.094400436425651,1,4650,9.335950,0.8883755
23,1.000000000000000,1,1,1,23,-.1078677676036746,1,3394,-6.936175849428634,1,4740,0.2076312,31.60133
24,1.000000000000000,1,1,1,24,.5621995596274522E-01,1,2388,-2.868596433126894,1,4964,3.397182,1.467018
25,1.000000000000000,1,1,1,25,-.6704657139855479E-02,1,2388,-2.929383760197396,1,4964,-1.349147,0.9424511
26,1.000000000000000,1,1,1,26,.8178638511417542E-01,1,2388,-1.807102505102855,1,4744,-4.216584,23.98343
27,1.000000000000000,1,1,1,27,.2111681253925443E-01,1,4823,-1.359436341978251,1,4931,3.364857,0.8873009
28,1.000000000000000,1,1,1,28,.1782862026403056E-01,1,3370,-1.409065459655030,1,4728,2.312211,4.191845
29,1.000000000000000,1,1,1,29,.1927833597793706E-01,1,3370,-.8342036308802220,1,4650,3.825093,0.7917077
30,1.000000000000000,1,1,1,30,-.2677304444559573E-01,1,3370,-1.250825345372934,1,4650,-10.97020,2.596342
