total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
66,1.000000000000000,1,1,1,66,15.73018396215735,1,,4
137,1.000000000000000,1,1,2,71,10.82684400612995,1,,3373
204,1.000000000000000,1,1,3,67,10.24720970367336,1,,3373
279,1.000000000000000,1,1,4,75,9.744066841597345,1,,3373
323,1.000000000000000,1,1,5,44,-2.926001158741201,1,LAK,1
380,1.000000000000000,1,1,6,57,-.1478631441651999,1,,2615
434,1.000000000000000,1,1,7,54,-.1518475743962711E-01,1,,2615
454,1.000000000000000,1,1,8,20,.1802121687376257E-02,1,LAK,1
471,1.000000000000000,1,1,9,17,-.9150935129298432E-04,1,,3544
484,1.000000000000000,1,1,10,13,-.7943479438665690E-04,1,,3544
497,1.000000000000000,1,1,11,13,-.7768051695222766E-04,1,,3544
499,1.000000000000000,1,1,12,2,.1593859529691599E-04,1,LAK,1
500,1.000000000000000,1,1,13,1,.6011382254200726E-06,1,,2889
528,2.000000000000000,2,1,1,28,-.5172404505056249E-01,1,,1
556,2.000000000000000,2,1,2,28,.7289922633475499E-02,1,,3211
582,2.000000000000000,2,1,3,26,.3518873805404610E-02,1,,3211
605,2.000000000000000,2,1,4,23,.1753530538323389E-02,1,,2299
626,2.000000000000000,2,1,5,21,.8191666804862052E-03,1,,2813
646,2.000000000000000,2,1,6,20,.3946750624521655E-03,1,,2821
665,2.000000000000000,2,1,7,19,.1901216658239946E-03,1,,3345
684,2.000000000000000,2,1,8,19,.9159251932544521E-04,1,,3345
699,2.000000000000000,2,1,9,15,.4411275040183682E-04,1,,3345
711,2.000000000000000,2,1,10,12,.2124606466225032E-04,1,,4851
724,2.000000000000000,2,1,11,13,.1661206867709097E-04,1,,3544
727,2.000000000000000,2,1,12,3,.4925843128944507E-05,1,,4851
