 total_inn.,totim,kper,kstp,nouter,dvmax,dvmax_loc,residmax,residmax_loc,dgwfmax,dgwfmax_loc,dqfrommvrmax,dqfrommvrmax_loc                                                              
 66,1.000000000000000,1,1,1,.000000000000000,1,.000000000000000,1,.000000000000000,1,.000000000000000,1                                                                                 
 137,1.000000000000000,1,1,2,-.2636676860390708,1,.4603283648705102E-17,1,.1207739882930993E-03,1,-.1207739882931039E-03,1                                                              
 204,1.000000000000000,1,1,3,.5101198978306485,1,.6442841522267031E-17,1,-.9975527594157474E-03,1,.9975527594157452E-03,1                                                               
 279,1.000000000000000,1,1,4,.4669962363166746,1,-.4962434532935779E-18,1,-.7344662525078558E-03,1,.7344662525078531E-03,1                                                              
 323,1.000000000000000,1,1,5,-2.926001158741201,1,.2868324872163204E-17,1,.1571500475559353E-02,1,-.1571500475559356E-02,1                                                              
 380,1.000000000000000,1,1,6,.2080732312658995E-01,1,-.6619211243453547E-17,1,-.2052478572652010E-04,1,.2052478572652959E-04,1                                                          
 434,1.000000000000000,1,1,7,.1318490183903975E-01,1,-.1103201873908925E-17,1,-.1300586737780245E-04,1,.1300586737779693E-04,1                                                          
 454,1.000000000000000,1,1,8,.1802121687376257E-02,1,.6839851618235332E-17,1,-.1777651130877568E-05,1,.1777651130869625E-05,1                                                           
 471,1.000000000000000,1,1,9,.1806432959483573E-04,1,.4412807495635698E-18,1,-.1781903861354697E-07,1,.1781903861994554E-07,1                                                           
 484,1.000000000000000,1,1,10,-.1031262941353361E-04,1,.1985763373036064E-17,1,.1017259681564464E-07,1,-.1017259682071937E-07,1                                                         
 497,1.000000000000000,1,1,11,-.1039530413038392E-04,1,.5295368994762837E-17,1,.1025414891433891E-07,1,-.1025414892029620E-07,1                                                         
 499,1.000000000000000,1,1,12,.1593859529691599E-04,1,-.1323842248690709E-17,1,-.1572216912592711E-07,1,.1572216913254632E-07,1                                                         
 500,1.000000000000000,1,1,13,.1560666902378216E-06,1,-.8825614991271396E-18,1,-.1539474991590484E-09,1,.1539474987177677E-09,1                                                         
 528,2.000000000000000,2,1,1,-.1556136979829148E-02,1,.5949126425241266E-14,1,.1535006587717688E-05,1,-.1557671986418056E-02,1                                                          
 556,2.000000000000000,2,1,2,-.7449839074524789E-06,1,-.1281479296732607E-14,1,.7348679602668060E-09,1,-.7457187685254025E-06,1                                                         
 582,2.000000000000000,2,1,3,-.3854177492712552E-06,1,-.5612870494073826E-14,1,.3801842584067438E-09,1,-.3857979289101619E-06,1                                                         
 605,2.000000000000000,2,1,4,-.1793507919956028E-06,1,-.7464263878867783E-15,1,.1769154311922706E-09,1,-.1795277109710369E-06,1                                                         
 626,2.000000000000000,2,1,5,-.8890528135907516E-07,1,.4658821513517388E-14,1,.8769806016297754E-10,1,-.8899298665234032E-07,1                                                          
 646,2.000000000000000,2,1,6,-.3500936429645662E-07,1,-.7075936819251842E-15,1,.3453398145430087E-10,1,-.3504389275870333E-07,1                                                         
 665,2.000000000000000,2,1,7,-.1605403099347313E-07,1,-.3628210322911671E-14,1,.1583603618147778E-10,1,-.1606986209676465E-07,1                                                         
 684,2.000000000000000,2,1,8,-.7350635655711812E-08,1,.1107614681404560E-15,1,.7250823440795878E-11,1,-.7357891430101596E-08,1                                                          
 699,2.000000000000000,2,1,9,-.3382055524525640E-08,1,.3748018046418180E-14,1,.3336130566302290E-11,1,-.3385396995281583E-08,1                                                          
 711,2.000000000000000,2,1,10,-.1541707206342835E-08,1,.7477061020605126E-14,1,.1520774594561817E-11,1,-.1543229811979657E-08,1                                                         
 724,2.000000000000000,2,1,11,-.6986908829276217E-09,1,.6081290009735556E-14,1,.6892026447659981E-12,1,-.6993936569728658E-09,1                                                         
 727,2.000000000000000,2,1,12,-.3838351858576061E-09,1,.6195581723872520E-15,1,.3786241784945376E-12,1,-.3842068119903706E-09,1                                                         
