 total_inn.,totim,kper,kstp,nouter,drejinfmax,drejinfmax_loc,drchmax,drchmax_loc                                       
 66,1.000000000000000,1,1,1,.000000000000000,1,.000000000000000,1                                                      
 137,1.000000000000000,1,1,2,.000000000000000,1,.000000000000000,1                                                     
 204,1.000000000000000,1,1,3,.000000000000000,1,.000000000000000,1                                                     
 279,1.000000000000000,1,1,4,.000000000000000,1,.000000000000000,1                                                     
 323,1.000000000000000,1,1,5,.000000000000000,1,.000000000000000,1                                                     
 380,1.000000000000000,1,1,6,.000000000000000,1,.000000000000000,1                                                     
 434,1.000000000000000,1,1,7,.000000000000000,1,.000000000000000,1                                                     
 454,1.000000000000000,1,1,8,.000000000000000,1,.000000000000000,1                                                     
 471,1.000000000000000,1,1,9,.000000000000000,1,.000000000000000,1                                                     
 484,1.000000000000000,1,1,10,.000000000000000,1,.000000000000000,1                                                    
 497,1.000000000000000,1,1,11,.000000000000000,1,.000000000000000,1                                                    
 499,1.000000000000000,1,1,12,.000000000000000,1,.000000000000000,1                                                    
 500,1.000000000000000,1,1,13,.000000000000000,1,.000000000000000,1                                                    
 528,2.000000000000000,2,1,1,.000000000000000,1,.000000000000000,1                                                     
 556,2.000000000000000,2,1,2,.000000000000000,1,.000000000000000,1                                                     
 582,2.000000000000000,2,1,3,.000000000000000,1,.000000000000000,1                                                     
 605,2.000000000000000,2,1,4,.000000000000000,1,.000000000000000,1                                                     
 626,2.000000000000000,2,1,5,.000000000000000,1,.000000000000000,1                                                     
 646,2.000000000000000,2,1,6,.000000000000000,1,.000000000000000,1                                                     
 665,2.000000000000000,2,1,7,.000000000000000,1,.000000000000000,1                                                     
 684,2.000000000000000,2,1,8,.000000000000000,1,.000000000000000,1                                                     
 699,2.000000000000000,2,1,9,.000000000000000,1,.000000000000000,1                                                     
 711,2.000000000000000,2,1,10,.000000000000000,1,.000000000000000,1                                                    
 724,2.000000000000000,2,1,11,.000000000000000,1,.000000000000000,1                                                    
 727,2.000000000000000,2,1,12,.000000000000000,1,.000000000000000,1                                                    
