total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1,1.000000000000000,1,1,1,1,-32.62646384790713,1,345,6055.567563889341,1,372,1.015477,1.203928
2,1.000000000000000,1,1,1,2,-6.951164065880297,1,144,1615.531402168604,1,30,2.079936,0.9479286
3,1.000000000000000,1,1,1,3,-4.095723933459866,1,144,1157.801826799084,1,983,2.528771,1.246397
4,1.000000000000000,1,1,1,4,-2.937407967878030,1,536,922.1890406762614,1,983,2.297860,1.738384
5,1.000000000000000,1,1,1,5,-4.185964267486999,1,536,406.2080954202578,1,37,3.380138,1.189318
6,1.000000000000000,1,1,1,6,49.58724350406555,1,536,6781.638735552779,1,983,-69.14507,0.8747491
7,1.000000000000000,1,1,1,7,-53.12685757962213,1,536,63.92075337764018,1,29,-0.3628734E-01,7.792018
8,1.000000000000000,1,1,1,8,-.6036208911008640,1,192,51.01945425680464,1,388,6.073638,0.8498337
9,1.000000000000000,1,1,1,9,-.1893434435827948,1,139,28.48045982626480,1,1200,0.5013397,9.820493
10,1.000000000000000,1,1,1,10,-.1298393098557571,1,156,-10.95438785496048,1,1178,3.821718,3.826775
11,1.000000000000000,1,1,1,11,-.4541120406288161E-01,1,139,7.896585960544172,1,1200,3.114669,0.8355464
12,1.000000000000000,1,1,1,12,.1734100670334678E-01,1,139,8.456309445763482,1,387,-3.396056,1.651846
13,1.000000000000000,1,1,1,13,-.8178589086119992E-01,1,574,4.545963760427565,1,387,-0.8594582,7.640243
14,1.000000000000000,1,1,1,14,-.1303449249156701E-01,1,895,1.325733185610414,1,387,2.915850,1.026893
15,1.000000000000000,1,1,1,15,-.1024825796280014E-01,1,574,.5956834337196152,1,1200,2.987239,0.9535576
16,1.000000000000000,1,1,1,16,-.1206313635379097E-01,1,574,-.3085419049797555,1,1204,7.564647,0.8805838
17,1.000000000000000,1,1,1,17,.5520038846292845E-02,1,574,.7750198971003418E-01,1,388,0.3062470,5.666399
18,1.000000000000000,1,1,1,18,-.8636242081707402E-03,1,574,.1586228833246264E-01,1,1178,2.941757,1.986748
19,1.000000000000000,1,1,1,19,-.1051979014087882E-03,1,557,.3396049603550332E-02,1,1200,1.643439,1.000055
20,1.000000000000000,1,1,1,20,-.2988507052581256E-04,1,156,.6119667821036562E-03,1,1204,1.410249,2.788508
21,1.000000000000000,1,1,1,21,-.9941527579286842E-05,1,557,.2424649988863741E-03,1,1176,3.703486,0.8255933
22,1.000000000000000,1,1,1,22,.2085976864081743E-05,1,557,-.9665627108161029E-04,1,1176,0.5256736,4.106403
23,1.000000000000000,1,1,1,23,-.8512320484269437E-06,1,557,.2680473083125901E-04,1,1200,3.399218,0.7556159
24,1.000000000000000,1,1,2,1,-3.015622140888557,1,92,454.6796821517873,1,31,1.010496,1.056160
25,1.000000000000000,1,1,2,2,-3.005720540815100,1,436,288.6558449933020,1,30,7.942790,0.9507613
26,1.000000000000000,1,1,2,3,-4.145479100223090,1,848,121.7069147075636,1,1200,2.635262,2.084957
27,1.000000000000000,1,1,2,4,-2.651201483442026,1,536,-135.2112469524669,1,1178,3.768252,0.9386066
28,1.000000000000000,1,1,2,5,.2709774693799544,1,1110,89.86551428111176,1,1200,0.5200687,3.603564
29,1.000000000000000,1,1,2,6,-.5600173814383688,1,895,69.70179787803248,1,1200,5.243921,1.154533
30,1.000000000000000,1,1,2,7,-.4447395305509776E-01,1,895,67.57070354309251,1,1200,-0.4853869,1.357160
31,1.000000000000000,1,1,2,8,-1.357141476787443,1,895,-59.08156248338264,1,1178,-14.19904,15.34372
32,1.000000000000000,1,1,2,9,-.3949053930908219,1,557,13.04964626684622,1,10,4.182891,0.8212300
33,1.000000000000000,1,1,2,10,-.3868111656346170,1,895,-2.554616188093601,1,27,5.086069,0.8586138
34,1.000000000000000,1,1,2,11,.6870853529660852E-01,1,574,2.497609642750721,1,1197,0.4028231,5.559672
35,1.000000000000000,1,1,2,12,-.4942487502958819E-01,1,895,-.5843064498555434,1,31,2.658695,1.409777
36,1.000000000000000,1,1,2,13,-.1039269644828776E-01,1,156,-.4694170280795609,1,1205,1.877470,3.368033
37,1.000000000000000,1,1,2,14,-.6133240612719703E-03,1,267,.1565600409717852,1,37,1.508616,1.258753
38,1.000000000000000,1,1,2,15,.2229127635848447E-03,1,3,.1309571160409020,1,37,-0.2224367,1.713795
39,1.000000000000000,1,1,2,16,.1181556255986122E-02,1,3,.5490130227025628E-01,1,37,-38.53646,0.9471438
40,1.000000000000000,1,1,2,17,.1170672445116615E-02,1,3,-.1841933098634274E-01,1,37,2.030714,0.9182963
41,1.000000000000000,1,1,2,18,.2163792337369227E-04,1,3,-.1842525866642879E-01,1,37,-1.360612,1.861760
42,1.000000000000000,1,1,2,19,-.1937345345453049E-03,1,3,-.3040943252060704E-02,1,1212,-1.724245,5.103634
43,1.000000000000000,1,1,2,20,-.1134249950286805E-04,1,74,.5659952507555089E-03,1,643,4.227468,0.7923426
44,1.000000000000000,1,1,2,21,.3523631516224630E-05,1,180,.4234938577905200E-03,1,1205,0.3866968,9.056075
45,1.000000000000000,1,1,2,22,-.4831224935423581E-06,1,74,.3230349065400203E-04,1,1176,2.882897,0.9167275
46,1.000000000000000,1,1,3,1,-1.011063422260904,1,393,132.2361770863812,1,37,1.030315,1.101044
47,1.000000000000000,1,1,3,2,-.9985408660107145,1,848,94.49829935197381,1,31,5.397489,1.052327
48,1.000000000000000,1,1,3,3,-1.592535434900878,1,848,-68.81909692840092,1,740,3.198625,1.872547
49,1.000000000000000,1,1,3,4,-1.102781549051217,1,536,30.68536146547697,1,1200,2.198409,1.772819
50,1.000000000000000,1,1,3,5,-.4299908664418538,1,536,28.24362612108029,1,1200,2.333065,1.328800
51,1.000000000000000,1,1,3,6,-.2213685033236685,1,302,27.17919702331679,1,1200,2.133442,2.379649
52,1.000000000000000,1,1,3,7,-.1802707320088500,1,156,26.01736294484004,1,1200,2.815503,1.035203
53,1.000000000000000,1,1,3,8,-.3799987088050173,1,156,18.94751276247094,1,1200,5.447600,1.061979
54,1.000000000000000,1,1,3,9,-.1185179665241381,1,895,12.08149530686093,1,1197,0.3018942,7.458653
55,1.000000000000000,1,1,3,10,-.2886801189578745,1,557,5.259378932754445,1,1197,13.37188,1.401381
56,1.000000000000000,1,1,3,11,-.1912337239011916,1,557,1.641898290620513,1,1200,3.605636,0.8629400
57,1.000000000000000,1,1,3,12,-.4584884854531318E-01,1,557,.6628022249093751,1,1200,1.786056,1.955509
58,1.000000000000000,1,1,3,13,-.1768085320858043E-01,1,557,.2042276431727306,1,1204,2.075099,1.046021
59,1.000000000000000,1,1,3,14,-.1941429598481864E-02,1,3,.1345417510257112,1,1100,0.4610503,7.483141
60,1.000000000000000,1,1,3,15,-.3821110702365309E-02,1,574,.3527815800751729E-01,1,1204,8.132812,0.8137104
61,1.000000000000000,1,1,3,16,-.2229845242123788E-03,1,3,.4375962755168939E-01,1,1200,0.3256472,5.157502
62,1.000000000000000,1,1,3,17,-.1208510358474408E-02,1,574,.4426810018629382E-02,1,1200,10.16031,0.8802937
63,1.000000000000000,1,1,3,18,-.1923704076855572E-03,1,574,-.6947505789135175E-03,1,1205,1.883553,1.106783
64,1.000000000000000,1,1,3,19,-.1055889396258989E-04,1,302,-.7284304866806464E-03,1,1197,0.7965270,7.221451
65,1.000000000000000,1,1,3,20,.7896219358983940E-05,1,557,-.3080337467008490E-03,1,1200,2.811895,0.9180954
66,1.000000000000000,1,1,3,21,.9736916194717298E-05,1,557,-.4240190742408262E-04,1,1204,2.414995,1.002624
67,1.000000000000000,1,1,3,22,.5422928217456698E-06,1,3,-.1974082130042678E-04,1,1204,0.8076293,2.544037
68,1.000000000000000,1,1,4,1,-.2836072260128233,1,393,39.30973658363050,1,37,1.056315,1.120251
69,1.000000000000000,1,1,4,2,-.2463162886757367,1,848,28.18379148211906,1,31,4.250660,1.007485
70,1.000000000000000,1,1,4,3,-.3950862169508713,1,848,14.92504675989422,1,1140,3.090875,2.123357
71,1.000000000000000,1,1,4,4,-.3025155086907177,1,848,9.737640447951293,1,1174,2.450354,1.217913
72,1.000000000000000,1,1,4,5,-.1834271954880032,1,536,5.653882697185430,1,1174,2.607131,1.469075
73,1.000000000000000,1,1,4,6,-.5612309858328918E-01,1,536,3.812032741890776,1,1200,2.023169,1.457373
74,1.000000000000000,1,1,4,7,-.3444480014116671E-01,1,251,4.347921172783828,1,1200,2.577670,1.276471
75,1.000000000000000,1,1,4,8,-.4148287954331456E-01,1,191,4.449320713824752,1,1200,3.136785,1.427592
76,1.000000000000000,1,1,4,9,.1245499620141899,1,139,5.676394144158407,1,1200,-16.83154,0.8427019
77,1.000000000000000,1,1,4,10,-.2417795237971102,1,139,1.007811638741456,1,1174,-0.2953065,19.16773
78,1.000000000000000,1,1,4,11,-.3584567027162332E-01,1,574,.7373755553176762,1,1013,4.537618,1.421917
79,1.000000000000000,1,1,4,12,-.1830108381707743E-01,1,139,.5525017483937941,1,1013,1.916039,1.171143
80,1.000000000000000,1,1,4,13,-.1404502132969075E-01,1,139,.3083435920743666,1,1013,2.367055,1.787601
81,1.000000000000000,1,1,4,14,-.4850738984440180E-02,1,191,.1831914051186868,1,1013,1.693385,2.060227
82,1.000000000000000,1,1,4,15,-.4931073727779373E-02,1,191,.6168631515519196E-01,1,1013,2.827667,0.8660289
83,1.000000000000000,1,1,4,16,-.6958561815276886E-03,1,1023,.3637461846600079E-01,1,1197,0.3188939,6.872292
84,1.000000000000000,1,1,4,17,-.1358703470268286E-02,1,191,.4758365606082166E-02,1,1013,9.594543,1.000819
85,1.000000000000000,1,1,4,18,-.3681143879570172E-03,1,191,-.3893164856074515E-02,1,1013,6.571665,0.8092059
86,1.000000000000000,1,1,4,19,.1881715175376713E-03,1,191,-.7354385554217090E-03,1,37,0.3255914,6.441902
87,1.000000000000000,1,1,4,20,-.1178942846289221E-04,1,1023,-.3418240806196640E-03,1,37,3.255130,1.407262
88,1.000000000000000,1,1,4,21,-.8518931478294066E-06,1,848,.2821699721432044E-03,1,152,0.2741362,2.282628
89,1.000000000000000,1,1,5,1,.2540496205726871E-01,1,1110,6.114967041772294,1,152,1.275883,1.205512
90,1.000000000000000,1,1,5,2,-.2029795391788015E-01,1,848,4.307980666577190,1,31,3.411072,1.029840
91,1.000000000000000,1,1,5,3,-.3292075087621729E-01,1,848,2.261685499897751,1,1140,3.309038,1.541658
92,1.000000000000000,1,1,5,4,-.3663305833406413E-01,1,848,1.427510993970537,1,25,3.426563,0.9209412
93,1.000000000000000,1,1,5,5,-.2815240591465900E-01,1,536,-.6976370846577759,1,1178,1.903018,4.012241
94,1.000000000000000,1,1,5,6,-.9193158906989006E-02,1,536,.3719174876608893,1,1174,2.117929,0.9701636
95,1.000000000000000,1,1,5,7,-.6800843736586829E-02,1,536,.2456377627784541,1,1195,3.100045,1.489899
96,1.000000000000000,1,1,5,8,-.2267387138281054E-02,1,536,.2144713490431661,1,1195,2.074828,1.349262
97,1.000000000000000,1,1,5,9,-.2131477365048610E-02,1,180,.2083499010362576,1,1200,1.957408,3.181464
98,1.000000000000000,1,1,5,10,-.2531152143716154E-02,1,180,.1971135803995495,1,1200,3.466746,1.450079
99,1.000000000000000,1,1,5,11,-.3175937727518495E-03,1,557,.1977396382284715,1,1200,-0.8619224E-01,1.746138
100,1.000000000000000,1,1,5,12,-.3279121622385008E-02,1,139,.1494468359695098,1,1200,-61.32030,0.9927348
101,1.000000000000000,1,1,5,13,-.2663038254327186E-02,1,139,.9394477285900073E-01,1,1200,5.278703,0.8730525
102,1.000000000000000,1,1,5,14,-.1086778889299754E-02,1,164,.4539044862610351E-01,1,1200,0.3213774,13.85185
103,1.000000000000000,1,1,5,15,-.1455681152532715E-02,1,139,.1986152580052256E-01,1,1200,8.137629,0.9496376
104,1.000000000000000,1,1,5,16,-.8500066602396175E-03,1,139,.5332665127371265E-02,1,1200,2.696704,6.757759
105,1.000000000000000,1,1,5,17,-.2733522026122211E-03,1,139,.3726286289412029E-03,1,1205,2.355368,0.8051952
106,1.000000000000000,1,1,5,18,.4928811548311823E-05,1,895,-.6190637762282182E-03,1,1205,0.4631724,7.719959
107,1.000000000000000,1,1,5,19,-.1974098301276279E-04,1,139,.1363431397787472E-03,1,1200,3.890038,0.9500371
108,1.000000000000000,1,1,5,20,-.5466072724662950E-05,1,139,.3405616409777136E-04,1,1200,2.186604,1.557955
109,1.000000000000000,1,1,5,21,-.1246464521150335E-05,1,139,.1101596771807046E-04,1,1200,2.250040,0.5044693
110,1.000000000000000,1,1,5,22,-.5990492254673090E-06,1,574,-.4222908430467751E-05,1,37,3.606816,0.1460268
111,1.000000000000000,1,1,6,1,-.5733085882677589E-02,1,255,.1737686028508336,1,31,1.012266,1.503435
112,1.000000000000000,1,1,6,2,.1916900988440492E-03,1,144,.9687193509145930E-01,1,152,2.687819,0.9802924
