total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
23,1.000000000000000,1,1,1,23,-34.14724139851086,1,,2
45,1.000000000000000,1,1,2,22,-10.37972041454746,1,,101
67,1.000000000000000,1,1,3,22,-4.968268329486136,1,,101
88,1.000000000000000,1,1,4,21,-1.621384692081278,1,,103
110,1.000000000000000,1,1,5,22,-.2276930567636128,1,,354
126,1.000000000000000,1,1,6,16,-.5450088996482805E-02,1,,1077
130,1.000000000000000,1,1,7,4,-.5945424249489406E-03,1,,1077
131,1.000000000000000,1,1,8,1,-.6152837528361488E-06,1,,761
140,2.000000000000000,2,1,1,9,-.3842678690349004,1,,262
148,2.000000000000000,2,1,2,8,.1094458990483815,1,,823
156,2.000000000000000,2,1,3,8,.5407694164783550E-01,1,,803
164,2.000000000000000,2,1,4,8,.2670802926321869E-01,1,,803
171,2.000000000000000,2,1,5,7,.1318799203500021E-01,1,,638
178,2.000000000000000,2,1,6,7,.6505485214674422E-02,1,,589
184,2.000000000000000,2,1,7,6,.3209481657236779E-02,1,,818
190,2.000000000000000,2,1,8,6,.1583384648924380E-02,1,,792
196,2.000000000000000,2,1,9,6,.7812809982397084E-03,1,,985
201,2.000000000000000,2,1,10,5,.3857162612632692E-03,1,,1098
206,2.000000000000000,2,1,11,5,.1903623032717405E-03,1,,1098
210,2.000000000000000,2,1,12,4,.9391747521192428E-04,1,,1098
214,2.000000000000000,2,1,13,4,.4631877247618377E-04,1,,1098
218,2.000000000000000,2,1,14,4,.2283555433280071E-04,1,,1098
221,2.000000000000000,2,1,15,3,.1125723488826225E-04,1,,944
224,2.000000000000000,2,1,16,3,.5545154650121731E-05,1,,1098
